runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution_cost,min_f_value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate_conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime_duplicate_conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver_name,instance_name
0.886622,16,29,6517,7971,104,104,30,58,2,6,0,4,0,6,0,0,44,0,0.775955,8.1E-05,0.000133,4E-05,0.002766,0.101183,0.000106,0.001591,4.6E-05,0.000916,0.003437,0.003592,34,1.5E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
0.898967,16,29,6517,7971,104,104,30,58,2,6,0,4,0,6,0,0,44,0,0.787033,7.9E-05,2.2E-05,3.8E-05,0.002769,0.102403,0,0.001672,3.9E-05,0.001008,0.003534,0.003587,34,1.7E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
0.030888,16,30,871,1609,32,32,22,32,1,12,0,1,0,2,0,0,25,0,0.027683,1.7E-05,5.8E-05,7E-06,0.000542,0.001823,4.2E-05,0.000202,1.7E-05,2.9E-05,0.000345,0.00042,32,1.8E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.029011,16,30,871,1609,32,32,22,32,1,12,0,1,0,2,0,0,25,0,0.025895,8E-06,1E-05,7E-06,0.000539,0.001814,0,0.000209,1.5E-05,2.4E-05,0.000344,0.000372,32,1.7E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.003707,3,5,393,645,52,52,39,52,0,0,0,2,0,1,0,0,4,0,0.002711,1E-05,1.1E-05,0,0.000342,0.000398,1E-05,5.4E-05,2E-06,8E-06,0.000125,0.000136,6,1.9E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.003775,3,5,393,645,52,52,39,52,0,0,0,2,0,1,0,0,4,0,0.002759,1E-05,3E-06,0,0.000362,0.000405,0,5.5E-05,3E-06,7E-06,0.00013,0.000135,6,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.909072,39,76,18404,22843,82,82,30,63,3,33,0,1,0,4,0,0,108,0,0.75676,0.00022,0.000174,0.000281,0.012549,0.12279,0.000118,0.005016,9.1E-05,0.002871,0.009361,0.0096,80,1.8E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.895548,39,76,18404,22843,82,82,30,63,3,33,0,1,0,4,0,0,108,0,0.745982,0.000233,4.4E-05,0.000254,0.012283,0.120828,0,0.005029,9.5E-05,0.002731,0.00903,0.009139,80,1.8E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.045394,32,61,3047,5072,44,44,24,36,7,17,0,3,0,11,0,0,94,7,0.030427,0.000181,0.000153,2.2E-05,0.001956,0.0104,0.000109,0.000541,2.5E-05,6.9E-05,0.001223,0.00142,70,1.8E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.044578,32,61,3047,5072,44,44,24,36,7,17,0,3,0,11,0,0,94,7,0.029127,0.000199,4E-05,2.3E-05,0.001981,0.010978,0,0.00053,2.5E-05,6.3E-05,0.001219,0.001314,70,1.8E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.000516,2,5,191,365,41,41,37,41,0,0,0,1,0,1,0,0,3,0,0.000266,4E-06,1.1E-05,0,1.9E-05,9.4E-05,7E-06,1.9E-05,1E-06,4E-06,5.6E-05,6.8E-05,4,1.5E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
0.000462,2,5,191,365,41,41,37,41,0,0,0,1,0,1,0,0,3,0,0.000231,3E-06,2E-06,0,1.8E-05,9.3E-05,0,2E-05,0,4E-06,5.5E-05,5.9E-05,4,1.7E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
60.0015,760,2990,1045567,1232445,-1,130,37,117,371,0,0,2,0,468,1836,0,2278,992,52.6363,0.0083,0.022076,0.025795,1.08828,5.32562,0.019537,0.065797,0.006019,0.215701,0.622312,0.648126,3751,1.7E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
60.002,604,1206,409025,488407,-1,133,37,117,2,591,0,2,0,11,0,0,1763,4,55.8724,0.006968,0.001098,0.011215,0.454747,3.03039,0,0.113013,0.003329,0.270528,0.437631,0.440305,1211,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
0.000222,2,3,135,210,31,31,21,28,0,0,0,2,0,0,0,0,2,0,0.000103,5E-06,7E-06,0,2.5E-05,0,6E-06,5E-06,1E-06,2E-06,3.8E-05,4.4E-05,4,1.8E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.000203,2,3,135,210,31,31,21,28,0,0,0,2,0,0,0,0,2,0,9.4E-05,5E-06,2E-06,0,2.6E-05,0,0,6E-06,2E-06,3E-06,3.7E-05,4E-05,4,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.001325,3,7,187,414,33,33,30,33,0,0,0,1,0,2,0,0,5,0,0.001004,2E-06,1E-05,0,6.9E-05,8.2E-05,8E-06,2.6E-05,3E-06,5E-06,6.7E-05,7.7E-05,6,1.6E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
0.001194,3,7,187,414,33,33,30,33,0,0,0,1,0,2,0,0,5,0,0.000901,3E-06,2E-06,0,7.1E-05,8.2E-05,0,2.4E-05,1E-06,6E-06,6.1E-05,6.8E-05,6,1.7E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
